# Icod.TermInfo standard capability catalog
#
# Canonical 0.8 source for the conventional ncurses/System V compatible
# standard compiled capability tables. BinaryIndex is per capability kind.
#
# Capability ordering/names/codes: ncurses include/Caps ABI tables,
# Caps revision 1.62 (2025-11-12); counts 44 bool / 39 num / 414 str.
# ManagedName preserves every public 0.7 enum identifier and supplies
# append-only identifiers for capabilities added in 0.8.
#
Kind	BinaryIndex	ShortName	LongName	TermcapCode	ManagedName
S	333	mcuu1	micro_up	Zd	MicroUp
S	334	porder	order_of_pins	Ze	OrderOfPins
S	335	mcud	parm_down_micro	Zf	ParmDownMicro
S	336	mcub	parm_left_micro	Zg	ParmLeftMicro
S	337	mcuf	parm_right_micro	Zh	ParmRightMicro
S	338	mcuu	parm_up_micro	Zi	ParmUpMicro
S	339	scs	select_char_set	Zj	SelectCharSet
S	340	smgb	set_bottom_margin	Zk	SetBottomMargin
S	341	smgbp	set_bottom_margin_parm	Zl	SetBottomMarginParm
S	342	smglp	set_left_margin_parm	Zm	SetLeftMarginParm
S	343	smgrp	set_right_margin_parm	Zn	SetRightMarginParm
S	344	smgt	set_top_margin	Zo	SetTopMargin
S	345	smgtp	set_top_margin_parm	Zp	SetTopMarginParm
S	346	sbim	start_bit_image	Zq	StartBitImage
S	347	scsd	start_char_set_def	Zr	StartCharSetDef
S	348	rbim	stop_bit_image	Zs	StopBitImage
S	349	rcsd	stop_char_set_def	Zt	StopCharSetDef
S	350	subcs	subscript_characters	Zu	SubscriptCharacters
S	351	supcs	superscript_characters	Zv	SuperscriptCharacters
S	352	docr	these_cause_cr	Zw	TheseCauseCr
S	353	zerom	zero_motion	Zx	ZeroMotion
S	354	csnm	char_set_names	Zy	CharSetNames
S	355	kmous	key_mouse	Km	KeyMouse
S	356	minfo	mouse_info	Mi	MouseInfo
S	357	reqmp	req_mouse_pos	RQ	ReqMousePos
S	358	getm	get_mouse	Gm	GetMouse
S	359	setaf	set_a_foreground	AF	SetForegroundColor
S	360	setab	set_a_background	AB	SetBackgroundColor
S	361	pfxl	pkey_plab	xl	PkeyPlab
S	362	devt	device_type	dv	DeviceType
S	363	csin	code_set_init	ci	CodeSetInit
S	364	s0ds	set0_des_seq	s0	Set0DesSeq
S	365	s1ds	set1_des_seq	s1	Set1DesSeq
S	366	s2ds	set2_des_seq	s2	Set2DesSeq
S	367	s3ds	set3_des_seq	s3	Set3DesSeq
S	368	smglr	set_lr_margin	ML	SetLrMargin
S	369	smgtb	set_tb_margin	MT	SetTbMargin
S	370	birep	bit_image_repeat	Xy	BitImageRepeat
S	371	binel	bit_image_newline	Zz	BitImageNewline
S	372	bicr	bit_image_carriage_return	Yv	BitImageCarriageReturn
S	373	colornm	color_names	Yw	ColorNames
S	374	defbi	define_bit_image_region	Yx	DefineBitImageRegion
S	375	endbi	end_bit_image_region	Yy	EndBitImageRegion
S	376	setcolor	set_color_band	Yz	SetColorBand
S	377	slines	set_page_length	YZ	SetPageLength
S	378	dispc	display_pc_char	S1	DisplayPcChar
S	379	smpch	enter_pc_charset_mode	S2	EnterPcCharsetMode
S	380	rmpch	exit_pc_charset_mode	S3	ExitPcCharsetMode
S	381	smsc	enter_scancode_mode	S4	EnterScancodeMode
S	382	rmsc	exit_scancode_mode	S5	ExitScancodeMode
S	383	pctrm	pc_term_options	S6	PcTermOptions
S	384	scesc	scancode_escape	S7	ScancodeEscape
S	385	scesa	alt_scancode_esc	S8	AltScancodeEsc
S	386	ehhlm	enter_horizontal_hl_mode	Xh	EnterHorizontalHlMode
S	387	elhlm	enter_left_hl_mode	Xl	EnterLeftHlMode
S	388	elohlm	enter_low_hl_mode	Xo	EnterLowHlMode
S	389	erhlm	enter_right_hl_mode	Xr	EnterRightHlMode
S	390	ethlm	enter_top_hl_mode	Xt	EnterTopHlMode
S	391	evhlm	enter_vertical_hl_mode	Xv	EnterVerticalHlMode
S	392	sgr1	set_a_attributes	sA	SetAAttributes
S	393	slength	set_pglen_inch	YI	SetPglenInch
S	394	OTi2	termcap_init2	i2	TermcapInit2
S	395	OTrs	termcap_reset	rs	TermcapReset
S	396	OTnl	linefeed_if_not_lf	nl	LinefeedIfNotLf
S	397	OTbc	backspace_if_not_bs	bc	BackspaceIfNotBs
S	398	OTko	other_non_function_keys	ko	OtherNonFunctionKeys
S	399	OTma	arrow_key_map	ma	ArrowKeyMap
S	400	OTG2	acs_ulcorner	G2	AcsUlcorner
S	401	OTG3	acs_llcorner	G3	AcsLlcorner
S	402	OTG1	acs_urcorner	G1	AcsUrcorner
S	403	OTG4	acs_lrcorner	G4	AcsLrcorner
S	404	OTGR	acs_ltee	GR	AcsLtee
S	405	OTGL	acs_rtee	GL	AcsRtee
S	406	OTGU	acs_btee	GU	AcsBtee
S	407	OTGD	acs_ttee	GD	AcsTtee
S	408	OTGH	acs_hline	GH	AcsHline
S	409	OTGV	acs_vline	GV	AcsVline
S	410	OTGC	acs_plus	GC	AcsPlus
S	411	meml	memory_lock	ml	MemoryLock
S	412	memu	memory_unlock	mu	MemoryUnlock
S	413	box1	box_chars_1	bx	BoxChars1
